carat,depth,table,x,y,z,cut,price
1.2,63.3,56,6.75,6.72,4.26,2,4637
0.9,59.9,61,6.29,6.19,3.74,2,4637
1,63.6,61,6.21,6.25,3.96,1,4637
0.92,62.5,58,6.25,6.16,3.88,3,4637
0.91,62.7,59,6.16,6.13,3.85,3,4637
1.15,62.2,56,6.77,6.67,4.18,3,4637
1.21,63.4,60,6.68,6.63,4.22,2,4637
1.21,64.5,56,6.69,6.62,4.29,0,4637
0.92,61.7,57,6.32,6.2,3.86,3,4637
1.01,61.9,59,6.38,6.42,3.96,4,4638
1.01,60.3,60,6.49,6.47,3.91,3,4638
0.92,60.8,58,6.27,6.32,3.83,4,4639
0.97,62,60,6.29,6.25,3.89,3,4639
1.09,62.5,58,6.61,6.55,4.11,3,4639
1.09,63.2,59,6.54,6.5,4.12,2,4639
1.17,57.8,62,6.97,6.91,4.01,1,4639
1.18,61.7,58,6.79,6.75,4.18,3,4639
1.1,61.2,61,6.61,6.66,4.01,2,4640
1.1,62.4,58,6.57,6.6,4.11,3,4640
1.09,61.4,58,6.61,6.69,4.08,2,4640
1,63.3,55,6.39,6.34,4.03,2,4641
1.01,60.3,58,6.5,6.56,3.94,4,4641
1.01,62.8,58,6.36,6.29,3.97,1,4641
1.12,59.7,60,6.77,6.72,4.03,3,4641
1.12,62,57,6.68,6.61,4.12,3,4641
1.12,61.2,59,6.69,6.65,4.08,3,4641
1.12,62,56,6.73,6.65,4.15,3,4641
1.01,62.5,59,6.44,6.33,3.99,3,4642
0.91,62,57,6.15,6.23,3.84,4,4642
0.91,61.7,56,6.21,6.24,3.84,4,4642
0.91,62,56,6.2,6.22,3.85,4,4642
1.01,62.8,58,6.38,6.36,4,3,4642
1.01,63.4,58,6.38,6.34,4.03,2,4642
1.01,61.2,58,6.47,6.43,3.95,3,4642
1.01,63,60,6.36,6.33,4,3,4642
1.01,60.3,64,6.53,6.5,3.93,1,4642
1.01,63.3,58,6.4,6.37,4.04,2,4642
1.01,62.4,53,6.47,6.42,4.02,4,4642
1.01,61.8,60,6.48,6.43,3.99,3,4642
0.9,63,57,6.07,6.15,3.85,2,4643
1,62.5,56,6.38,6.42,4,2,4643
1.06,62.4,54,6.51,6.57,4.08,4,4643
1.35,62.5,57,7.04,7.01,4.39,4,4643
0.7,63.2,57,5.62,5.67,3.57,2,4644
1.07,61.8,59,6.57,6.53,4.05,3,4644
1.02,62,59,6.43,6.4,3.98,4,4645
1.11,62.3,56,6.59,6.64,4.12,4,4645
1,63.9,55,6.28,6.34,4.03,1,4646
1.06,62.6,56,6.46,6.54,4.07,4,4646
1.01,60.4,62,6.31,6.34,3.82,0,4646
1.13,61.5,59,6.73,6.69,4.13,3,4647
1,60.4,60,6.49,6.46,3.91,3,4648
1.52,69.7,55,6.92,6.89,4.81,0,4648
1.52,65.4,62,7.1,7.02,4.62,0,4648
1.04,62.5,57,6.5,6.46,4.05,4,4648
1,58.5,61,6.51,6.55,3.82,2,4649
1,62,56,6.38,6.43,3.97,4,4649
1,62.5,56,6.38,6.41,4,4,4649
1,61.5,57,6.39,6.43,3.94,4,4649
1.23,61.9,54,6.89,6.86,4.26,3,4649
1.1,61.4,59,6.71,6.59,4.08,3,4650
1.14,62.9,59,6.62,6.64,4.17,2,4652
1.06,60.5,60,6.61,6.67,4.02,3,4652
1.22,62.6,58,6.78,6.84,4.26,2,4652
1.17,63.1,56,6.76,6.71,4.25,2,4652
1,63.3,62,6.37,6.29,4.01,2,4652
0.36,62.2,59,4.53,4.57,2.83,3,589
0.32,62.3,55,4.38,4.42,2.74,2,589
0.32,62,57,4.37,4.4,2.72,4,589
0.32,61.9,55,4.39,4.4,2.72,4,589
0.32,63.3,57,4.36,4.39,2.77,1,589
0.32,62.7,57,4.34,4.37,2.73,2,589
0.32,61.4,58,4.38,4.42,2.7,3,589
0.32,60.9,60,4.39,4.41,2.68,3,589
0.32,62.4,55,4.34,4.38,2.72,4,589
0.4,63.5,56,4.69,4.7,2.98,1,589
0.32,63,58,4.36,4.4,2.76,2,589
0.32,62.7,54,4.35,4.39,2.74,4,589
0.32,62.6,55,4.36,4.39,2.74,4,589
0.32,60.8,57,4.41,4.44,2.69,4,589
0.32,59.3,55,4.51,4.53,2.68,4,589
0.32,59.6,57,4.42,4.47,2.65,4,589
0.32,60.9,56,4.4,4.43,2.69,4,589
0.32,60.1,61,4.4,4.45,2.66,2,589
0.34,64.3,53,4.44,4.48,2.87,1,589
0.31,62,56,4.36,4.38,2.71,4,589
0.34,62.3,57,4.45,4.48,2.78,2,590
0.26,59.6,55,4.18,4.24,2.51,2,590
0.35,61,55,4.6,4.63,2.81,2,590
0.38,62.5,61,4.59,4.63,2.88,2,590
0.35,62.4,54,4.51,4.53,2.82,4,590
0.3,62.2,57,4.26,4.29,2.66,4,590
0.3,62.4,56,4.28,4.31,2.68,4,590
0.3,62.1,54,4.32,4.35,2.69,4,590
0.3,61.5,55,4.34,4.37,2.68,4,590
0.3,62.7,53,4.29,4.32,2.7,4,590
1.01,62.4,58,6.39,6.44,4,2,4653
1.01,61.4,55,6.46,6.5,3.98,4,4653
1.01,61.4,57,6.44,6.5,3.97,4,4653
1.15,61.9,57,6.68,6.72,4.15,2,4654
1.06,61.7,62,6.54,6.5,4.02,3,4654
1.12,61.6,58,6.69,6.63,4.1,3,4654
1.14,63,57,6.7,6.65,4.2,3,4654
1.12,60.5,59,6.79,6.73,4.09,3,4654
0.9,60,58,6.21,6.26,3.74,1,4655
0.75,59.4,59,5.88,5.94,3.51,2,4656
1.26,62.5,53,6.86,6.9,4.3,4,4656
1.08,60.8,59,6.57,6.62,4.01,3,4656
1.08,60.2,58,6.61,6.68,4,2,4656
1.08,63.7,57,6.49,6.54,4.15,1,4656
1,68.4,58,5.97,6.1,4.13,0,4656
1.06,62,59,6.57,6.52,4.06,3,4656
1.16,61.5,60.4,6.71,6.76,4.14,2,4657
1.2,61.5,59,6.84,6.81,4.2,3,4657
0.9,62.4,58,6.15,6.12,3.83,3,4657
1.32,63.5,57,6.98,6.95,4.42,2,4657
1,65.8,58,6.23,6.15,4.07,0,4657
0.9,61.7,57,6.25,6.2,3.84,4,4657
1.2,61.7,56,6.79,6.87,4.21,4,4659
1.2,63.3,54.4,6.72,6.78,4.27,1,4659
1.01,63.5,57,6.31,6.35,4.02,2,4659
1.09,61.3,58,6.63,6.58,4.05,3,4659
1.04,58.5,62,6.67,6.64,3.89,3,4659
1.04,61.3,57,6.56,6.53,4.01,4,4659
1.04,61.3,57,6.57,6.54,4.02,4,4659
1.19,62.6,58,6.7,6.75,4.21,3,4660
1.27,60.4,58,7.04,7,4.24,3,4660
0.94,62.4,56,6.24,6.27,3.9,2,4661
0.94,61.8,56,6.29,6.33,3.9,2,4661
0.94,60,58,6.37,6.44,3.84,3,4661
0.94,62,58,6.24,6.27,3.88,3,4661
1.13,62.7,55,6.61,6.69,4.17,2,4661
0.9,62.7,58,6.06,6.15,3.83,3,4661
1.23,60.9,58,6.93,6.96,4.23,2,4661
1.15,63.7,56,6.63,6.66,4.23,2,4661
1,62.5,58,6.35,6.44,4,2,4661
0.9,61.3,58,6.16,6.21,3.79,4,4661
1.11,61.5,59,6.67,6.63,4.09,3,4662
1.11,62.9,59,6.59,6.54,4.13,3,4662
1.02,59.5,59,6.54,6.5,3.88,3,4662
0.9,62.6,57,6.11,6.09,3.82,2,4662
1.02,61.5,57,6.49,6.45,3.98,4,4662
1.02,62.4,55,6.46,6.43,4.02,4,4662
1.06,61,57,6.61,6.56,4.02,4,4662
1.02,61.4,56,6.5,6.47,3.98,4,4662
1.11,62.7,57,6.66,6.59,4.14,4,4662
1.11,61.6,60,6.67,6.6,4.09,3,4662
1.11,62,54,6.64,6.61,4.11,4,4662
1.11,61.3,55,6.73,6.65,4.1,4,4662
0.91,60.6,57,6.25,6.27,3.79,4,4663
1.12,59.5,59,6.8,6.75,4.03,3,4663
0.91,62.3,60,6.21,6.15,3.85,3,4663
0.91,59,61,6.35,6.29,3.73,3,4663
0.9,62.1,59,6.17,6.19,3.84,2,4664
1,63.1,57,6.32,6.39,4.01,4,4664
1.11,62.5,58,6.63,6.61,4.14,3,4664
0.91,62.9,58,6.14,6.17,3.87,2,4665
0.86,62.3,56,6.05,6.08,3.78,2,4665
0.98,62.3,56,6.37,6.34,3.96,4,4665
1.19,63.2,58,6.82,6.7,4.27,2,4665
1,67.6,59,6.03,5.95,4.05,0,4665
1.01,62.3,60,6.33,6.41,3.97,2,4666
1.01,59.5,59,6.54,6.58,3.9,2,4666
1.01,62.2,54,6.39,6.43,3.99,4,4666
1.01,62.4,58,6.39,6.47,4.01,2,4666
1.01,61.2,54,6.49,6.52,3.98,4,4666
1.01,61.5,58,6.4,6.43,3.95,3,4666
1.01,62.6,59,6.36,6.39,3.99,3,4666
1.01,61.5,56,6.45,6.47,3.97,2,4666
1.01,61.1,57,6.48,6.52,3.97,4,4666
1.01,63.7,58,6.32,6.36,4.04,1,4666
1.24,61.6,57,6.89,6.87,4.24,4,4666
1.24,60.5,62,6.97,6.89,4.19,3,4666
0.93,62.2,58,6.2,6.24,3.87,4,4666
1.24,62.2,58,6.94,6.82,4.28,3,4666
1.05,62.2,54,6.52,6.56,4.07,4,4667
1.04,62.1,57,6.46,6.48,4.02,4,4668
0.9,62.6,55,6.12,6.19,3.85,2,4668
0.9,63,62,6.06,6.13,3.84,2,4668
0.9,62.6,58,6.1,6.13,3.83,1,4668
1.03,62.1,59,6.43,6.46,4,2,4668
0.91,63.2,56,6.08,6.14,3.86,2,4668
1.01,61.6,58,6.45,6.5,3.99,4,4668
1.16,61.7,56,6.76,6.7,4.15,4,4668
1.01,63.3,56,6.35,6.39,4.03,2,4669
1.21,63.7,64,6.73,6.63,4.25,1,4669
1.21,61.6,61,6.86,6.8,4.21,3,4669
1.11,61.5,58,6.6,6.67,4.08,3,4670
0.91,61,59,6.25,6.18,3.79,3,4670
0.91,61.8,54,6.32,6.27,3.89,3,4670
0.91,59.4,63,6.32,6.28,3.74,2,4670
1.09,61.2,57,6.68,6.63,4.07,4,4670
1.09,62.1,56,6.66,6.59,4.12,4,4670
1.03,59.3,58,6.57,6.61,3.91,1,4671
1.01,58.8,59,6.58,6.55,3.86,3,4672
1.01,61.2,61,6.47,6.41,3.94,3,4672
1.01,60.7,59,6.35,6.4,3.87,1,4672
1.01,61,62,6.49,6.4,3.93,3,4672
1.01,63.5,60,6.33,6.3,4.01,2,4672
1.01,62.8,59,6.44,6.34,4.01,3,4672
1.01,63.4,58,6.33,6.28,4,2,4672
1.01,63.9,57,6.37,6.3,4.05,1,4672
1.01,62.9,61,6.4,6.36,4.01,3,4672
1.01,62.2,60,6.43,6.4,3.99,3,4672
1.01,63.6,57,6.37,6.33,4.04,1,4672
1.01,62.5,60,6.39,6.34,3.98,3,4672
1.01,61.8,60,6.41,6.37,3.95,3,4672
1.01,62.9,54,6.47,6.41,4.05,4,4672
1.01,60.3,57,6.56,6.51,3.94,3,4672
1.01,59.6,61,6.52,6.47,3.87,3,4672
1.01,63.9,57,6.36,6.29,4.04,1,4672
1.01,60.9,62,6.45,6.43,3.92,3,4672
1.01,58.3,59,6.67,6.63,3.88,3,4672
1.12,63.1,56,6.62,6.59,4.17,2,4673
0.91,62.5,56,6.19,6.22,3.88,4,4673
1.1,60.5,61,6.61,6.67,4.02,1,4674
1.21,61,60,6.88,6.83,4.18,3,4675
1.08,61.9,58,6.55,6.57,4.06,4,4675
1.02,61.1,56,6.51,6.45,3.96,4,4675
1.05,60.9,56,6.64,6.56,4.02,4,4675
1.01,62.5,58,6.44,6.39,4.01,3,4676
0.92,62.9,56,6.18,6.22,3.9,2,4676
1.22,61.2,57,6.86,6.9,4.21,4,4676
0.91,62.2,60,6.21,6.13,3.84,3,4676
1,61.4,55,6.49,6.44,3.97,4,4676
1.01,61.9,58,6.39,6.34,3.94,3,4676
0.9,62.8,58,6.13,6.09,3.84,3,4677
1.74,63.2,55,7.62,7.59,4.8,2,4677
1.07,62,57,6.49,6.6,4.06,4,4678
1.07,61.5,57,6.57,6.6,4.05,4,4678
0.9,61.9,57,6.17,6.23,3.84,2,4678
0.9,62.7,56,6.17,6.2,3.88,4,4678
0.9,61.7,56,6.18,6.21,3.82,2,4678
1.02,63,58,6.4,6.36,4.02,3,4678
1.02,63.5,57,6.4,6.35,4.05,2,4678
1.18,64.2,62,6.6,6.51,4.25,1,4678
1.02,63.7,61,6.27,6.23,3.98,1,4678
0.91,62.4,56,6.2,6.14,3.85,4,4678
1.19,62,56,6.8,6.77,4.21,4,4678
1.03,61.3,61,6.46,6.49,3.97,2,4679
1.03,63.2,58,6.38,6.43,4.05,1,4679
1.03,61.7,58,6.47,6.5,4,3,4679
1.03,62.8,56,6.43,6.46,4.05,2,4679
1.03,61.2,57,6.51,6.59,4.01,4,4679
1.03,62.4,57,6.47,6.52,4.05,4,4679
1.03,61.8,56,6.46,6.51,4.01,4,4679
0.7,60.3,59,5.72,5.76,3.46,2,4679
1.05,62.1,54,6.54,6.55,4.06,4,4679
1,60.1,65,6.4,6.44,3.86,1,4679
1,56.5,60,6.62,6.66,3.75,0,4679
1.28,63.6,57,6.78,6.73,4.29,1,4679
1.01,59.8,61,6.54,6.51,3.9,2,4680
1.01,61.4,60,6.48,6.45,3.97,4,4680
0.9,62.6,58,6.08,6.13,3.82,2,4681
1.01,62.1,58,6.37,6.39,3.96,2,4681
1.04,59.7,60,6.55,6.58,3.92,2,4682
0.95,62.9,59,6.24,6.13,3.89,3,4682
0.9,65.8,58,5.99,6.01,3.95,1,4682
1.09,62.2,59,6.49,6.46,4.03,3,4682
1.09,63.8,60,6.57,6.49,4.16,1,4682
1.06,61.2,57,6.59,6.51,4.01,4,4682
1.1,63.5,55,6.55,6.49,4.14,2,4682
0.95,62.3,60,6.3,6.26,3.91,3,4682
1.05,62.2,58,6.5,6.46,4.03,3,4682
1.03,61.6,55,6.46,6.49,3.99,4,4683
1.02,61.6,56,6.52,6.49,4.01,4,4684
0.9,63.6,55,6.15,6.11,3.9,2,4685
0.9,62.8,59,6.07,6.15,3.84,2,4685
1.08,62.8,56,6.48,6.6,4.11,2,4685
1,59.6,62,6.45,6.51,3.86,2,4685
1.01,59.9,61,6.49,6.53,3.9,4,4685
1.02,61.3,57,6.47,6.49,3.97,4,4685
0.9,58.2,59,6.36,6.33,3.69,1,4685
1.01,58.7,63,6.52,6.6,3.85,1,4685
1.2,58.7,59,6.99,6.94,4.09,3,4685
1.21,62.3,59,6.82,6.77,4.23,3,4686
1.07,61.7,58,6.58,6.55,4.05,4,4686
1.07,61.6,56,6.59,6.55,4.04,4,4686
1.24,61.8,58,6.9,6.86,4.25,3,4687
0.9,62.6,59,6.14,6.06,3.82,3,4687
0.9,59,58,6.33,6.29,3.72,3,4687
1.11,62.3,57,6.67,6.62,4.14,3,4687
1.05,62.6,56,6.49,6.45,4.05,2,4688
1,56.9,63,6.45,6.52,3.69,0,4688
1.02,63.5,58,6.39,6.36,4.05,2,4688
1.02,62.6,59,6.43,6.38,4.01,3,4688
1.01,62.9,59,6.37,6.31,3.99,3,4688
1.14,61.1,59,6.77,6.72,4.12,3,4688
1.02,63.2,57,6.44,6.38,4.05,2,4688
1.15,62.3,58,6.73,6.67,4.18,3,4688
1.13,61.2,59,6.68,6.65,4.08,3,4689
1.1,63,57,6.5,6.54,4.11,2,4689
0.9,61.9,56,6.17,6.23,3.84,4,4689
1.06,63,56,6.54,6.45,4.09,3,4689
1.13,62.1,58,6.7,6.66,4.15,3,4689
1.13,63.3,56,6.65,6.62,4.2,2,4689
1.01,62.5,58,6.39,6.41,4,2,4690
1.01,60.1,60,6.41,6.47,3.87,2,4690
1.25,61.5,57,7,6.93,4.28,3,4690
1.21,63,57,6.73,6.77,4.25,2,4691
0.92,61.5,53,6.26,6.3,3.86,4,4691
1.1,60.1,62,6.69,6.65,4.01,3,4691
1.01,63.3,57,6.33,6.37,4.02,1,4692
1.09,59.4,61,6.68,6.73,3.98,4,4692
1.05,61.9,58,6.5,6.45,4.01,3,4692
1.05,63.1,60,6.49,6.42,4.07,2,4692
1.05,59.5,58,6.69,6.61,3.96,3,4692
1.11,58.8,59,6.8,6.76,3.99,3,4692
1.05,63.5,57,6.47,6.44,4.1,2,4692
1.01,63.3,58,6.33,6.27,3.99,2,4692
0.93,62,56,6.27,6.22,3.87,3,4692
1.27,62.6,57,6.85,6.88,4.3,4,4693
0.9,59.6,62,6.19,6.22,3.7,2,4693
0.9,62.4,61,6.13,6.17,3.84,2,4693
0.9,62.2,58,6.11,6.18,3.82,3,4693
0.9,62.8,59,6.14,6.18,3.87,2,4693
1.01,61.4,62,6.39,6.45,3.94,2,4693
1.01,61.2,57,6.45,6.49,3.96,4,4693
1.01,61.1,56,6.44,6.48,3.95,4,4693
1.01,62.4,57,6.36,6.43,3.99,4,4693
0.96,61,61,6.29,6.33,3.85,1,4693
1.01,62,56,6.46,6.42,3.99,4,4694
1.01,62.3,57,6.41,6.36,3.98,4,4694
1.01,60.4,60,6.52,6.46,3.92,3,4694
1.04,62,54,6.49,6.51,4.03,4,4695
1.13,55.9,67,7.05,6.94,3.9,0,4695
0.92,61.8,55,6.25,6.28,3.87,4,4696
1.04,63,56,6.44,6.41,4.05,4,4696
0.9,63.3,58,6.05,6.14,3.86,2,4697
1,60.1,60,6.47,6.55,3.91,2,4697
1.09,60.3,61,6.64,6.69,4.02,1,4698
1.07,62.4,57,6.55,6.52,4.08,4,4698
1.33,62,56,7.05,7.01,4.36,0,4698
1.11,60.4,58,6.68,6.66,4.03,3,4699
1.09,62,57,6.61,6.55,4.08,3,4700
0.93,59.6,57,6.37,6.42,3.81,4,4700
1.07,62,58,6.57,6.52,4.06,3,4700
1.07,60.3,58,6.68,6.62,4.01,3,4700
1.09,62.4,64,6.61,6.51,4.09,1,4700
1.15,61.8,56,6.75,6.7,4.15,3,4701
1.14,60,60,6.76,6.81,4.07,2,4702
1,62.3,60,6.34,6.38,3.96,2,4702
1,60.3,56,6.52,6.54,3.94,4,4702
1,61.5,58,6.37,6.45,3.94,3,4702
1.25,62.5,57,6.83,6.86,4.28,2,4702
1.14,63.5,56,6.58,6.62,4.19,1,4702
1,63.7,60,6.3,6.33,4.02,1,4702
1.14,60.6,59,6.77,6.8,4.11,3,4702
1,62.7,59,6.3,6.37,3.97,2,4702
0.72,61.6,56,5.75,5.77,3.55,4,4702
1.16,62.2,59,6.74,6.69,4.18,3,4702
1.04,60.6,57,6.56,6.6,3.99,2,4703
1.02,63.5,56,6.36,6.43,4.06,2,4703
1.2,64.1,57,6.68,6.65,4.27,1,4704
1.32,60.8,58,7.03,7.11,4.3,3,4704
1.02,62.9,56,6.36,6.4,4.01,2,4704
1,66.3,58,6.15,6.04,4.04,0,4704
1.5,66.1,57,7.12,7.04,4.68,0,4704
1.5,69.7,56,6.94,6.9,4.82,0,4704
1,63.1,57,6.37,6.33,4.01,2,4704
1,62.5,58,6.38,6.33,3.97,4,4704
1.26,59.6,57,7.04,7.01,4.19,4,4704
1,61.2,60,6.45,6.42,3.94,3,4704
1.12,60.8,57,6.76,6.7,4.09,3,4704
1.2,63.3,57,6.7,6.66,4.23,2,4704
1.5,64.9,61,7.14,7.09,4.62,0,4704
1.2,62,59,6.77,6.72,4.18,3,4704
1.12,61.9,58,6.74,6.66,4.15,3,4704
1,60.3,61,6.43,6.38,3.86,3,4704
1,61.7,58,6.39,6.34,3.93,3,4704
1,63.3,56,6.38,6.35,4.03,2,4704
1,63.5,56,6.38,6.31,4.03,2,4704
1,61.4,61,6.41,6.36,3.92,3,4704
1,61.1,58,6.48,6.44,3.95,3,4704
1,62,58,6.41,6.29,3.94,3,4704
1,64.9,59,6.2,6.13,4,0,4704
1,65.9,54,6.24,6.2,4.1,0,4704
1.01,63.1,59,6.34,6.43,4.03,2,4705
1.03,59.3,56,6.57,6.66,3.92,1,4705
1.22,65,56,6.71,6.8,4.39,0,4705
0.91,61,57,6.27,6.32,3.84,4,4706
1.01,60.8,58,6.43,6.4,3.9,3,4706
0.9,60.4,60,6.23,6.29,3.78,2,4707
0.9,62.2,56,6.12,6.17,3.82,2,4707
0.9,63,58,6.13,6.16,3.87,2,4707
1.01,62.4,60,6.34,6.39,3.97,2,4707
1.13,60.8,56,6.64,6.72,4.06,4,4707
1.01,63.3,57,6.41,6.36,4.04,2,4707
1.01,62.2,54,6.48,6.41,4.01,3,4707
1.01,62.6,61,6.39,6.36,3.99,3,4707
1.14,61.7,54,6.71,6.74,4.15,4,4708
1.02,60.3,56,6.57,6.54,3.95,4,4708
1.13,62,55,6.68,6.65,4.13,4,4708
0.9,60.6,60,6.14,6.27,3.76,2,4709
1.11,61.4,57,6.63,6.67,4.08,4,4709
1.11,61.9,57,6.62,6.67,4.11,4,4709
0.34,62.5,57,4.47,4.49,2.8,4,413
0.34,61.4,55,4.5,4.52,2.77,4,413
0.31,60.9,57,4.36,4.41,2.67,4,414
0.23,63,56,3.94,3.9,2.47,4,414
0.23,60.5,61,3.98,3.95,2.4,3,414
0.3,60.8,65,4.26,4.29,2.6,1,414
0.23,61.3,59,3.94,3.96,2.42,2,414
0.23,60.2,59,4,4.01,2.41,2,415
0.29,62.1,56,4.24,4.26,2.64,1,415
0.33,61.4,55,4.46,4.5,2.75,4,416
0.3,64.8,58,4.24,4.16,2.72,0,416
0.33,63.5,57,4.36,4.39,2.78,1,416
0.26,62.5,53,4.08,4.11,2.56,4,417
0.31,61.2,58,4.37,4.39,2.68,4,417
0.24,62,56,3.94,3.99,2.46,2,417
0.24,62.6,58,3.99,4.03,2.51,3,417
0.24,61.8,57,3.97,4.02,2.47,4,417
0.34,58.6,62,4.6,4.62,2.7,2,417
0.3,63.2,55,4.26,4.29,2.7,1,417
0.34,62.3,60,4.46,4.49,2.79,3,417
0.34,63.9,56,4.4,4.43,2.82,1,417
0.26,61.9,56,4.07,4.1,2.53,2,418
0.26,62.1,56,4.07,4.11,2.54,2,418
0.31,61.3,56,4.37,4.4,2.69,4,418
0.31,59.6,58,4.39,4.44,2.63,3,418
0.31,62.5,56,4.29,4.35,2.7,4,418
0.31,62.8,60,4.29,4.31,2.7,2,418
0.31,60.1,59,4.38,4.41,2.64,3,418
0.31,62.2,56,4.34,4.37,2.71,4,418
0.31,62.3,58,4.35,4.38,2.72,2,418
0.3,60.8,58,4.33,4.38,2.65,4,590
0.3,62.1,55,4.33,4.36,2.7,4,590
0.27,62.3,59,4.14,4.18,2.59,2,591
0.27,60.8,59,4.17,4.19,2.54,2,591
0.26,61.2,60,4.13,4.14,2.53,2,591
0.27,62,55,4.16,4.16,2.59,2,591
0.27,62.4,55,4.18,4.22,2.62,2,591
0.31,61.8,53,4.36,4.38,2.7,4,591
0.31,60.5,57,4.39,4.41,2.66,4,591
0.31,61.3,55,4.35,4.39,2.68,4,591
0.31,61.5,56,4.36,4.39,2.69,4,591
0.35,63.8,56,4.48,4.45,2.85,1,591
0.32,60.9,60,4.43,4.4,2.69,3,591
0.32,61.8,56,4.43,4.4,2.73,3,591
0.32,63.1,58,4.36,4.33,2.74,2,591
0.32,63,59,4.37,4.33,2.74,3,591
0.32,63.5,57,4.39,4.34,2.77,2,591
0.32,63.4,55,4.38,4.36,2.77,2,591
0.32,62.3,60,4.4,4.36,2.73,3,591
0.32,62.6,55,4.38,4.37,2.74,3,591
0.32,62,58,4.39,4.38,2.72,3,591
0.32,63.7,55,4.33,4.3,2.75,1,591
0.35,62.2,58,4.54,4.49,2.81,3,591
0.35,62.8,55,4.53,4.48,2.83,4,591
0.4,64,57,4.67,4.7,3,1,591
0.29,60.8,63,4.28,4.31,2.61,2,592
0.31,61.8,58,4.29,4.35,2.67,2,592
0.33,62.1,54,4.46,4.49,2.78,4,592
0.32,61.6,56,4.42,4.46,2.73,4,592
0.33,62.2,53.3,4.45,4.48,2.77,4,592
1.07,61,62,6.6,6.68,4.05,1,4710
1.16,61.7,56,6.82,6.76,4.18,4,4710
0.95,62.8,59,6.21,6.25,3.91,2,4711
1.23,63.2,58,6.8,6.74,4.28,2,4711
1.2,61.2,59,6.78,6.84,4.17,2,4712
1.12,62.4,56,6.63,6.67,4.15,4,4712
1.02,60.3,57,6.5,6.53,3.95,4,4712
1,63.3,61,6.29,6.31,3.99,1,4712
1,61.8,59,6.33,6.38,3.93,2,4712
1.02,63.4,57,6.41,6.43,4.07,1,4712
1.02,63.2,56,6.37,6.41,4.04,1,4712
1.02,62.7,59,6.36,6.44,4.01,2,4712
0.9,63.6,55,6.15,6.12,3.9,1,4712
1.13,61.3,57,6.73,6.67,4.11,4,4712
1.1,59.6,60,6.74,6.7,4,3,4712
0.9,63.2,58,6.16,6.09,3.87,2,4712
1,61.4,60,6.35,6.41,3.92,4,4713
1.05,60.3,61,6.56,6.6,3.97,4,4714
1.22,60.7,57,6.92,6.88,4.19,4,4714
1.31,63.4,58,6.91,6.8,4.35,2,4714
0.9,63.2,59,6.08,6.04,3.83,2,4715
0.9,63.2,57,6.12,6.07,3.85,2,4715
1.2,60.3,59,6.9,6.94,4.17,3,4715
1.1,59.1,57,6.72,6.82,4,2,4715
0.73,61.8,61,5.7,5.73,3.53,2,4716
1.07,62.1,58,6.53,6.57,4.07,2,4716
1.2,60,61,6.89,6.84,4.12,3,4717
1.08,61.2,58,6.62,6.58,4.04,3,4717
1,63.5,59,6.34,6.29,4.01,2,4717
1.17,60,66,6.86,6.78,4.09,0,4717
0.9,61.6,62,6.12,6.09,3.76,3,4717
0.9,57.7,61,6.34,6.32,3.65,1,4717
1.04,60.2,58,6.6,6.55,3.96,3,4717
1.02,63.2,59,6.41,6.37,4.04,2,4718
1.02,62.3,59,6.44,6.4,4,3,4718
1.02,63,55,6.45,6.4,4.05,3,4718
1.02,60.8,58,6.5,6.46,3.94,3,4718
1.02,61,59,6.48,6.44,3.94,3,4718
1.02,63.4,59,6.41,6.37,4.05,2,4718
1.02,61.5,56,6.51,6.47,3.99,3,4718
1.02,60.3,58,6.52,6.48,3.92,3,4718
1.01,60,58,6.51,6.55,3.92,2,4719
1.01,60.2,58,6.5,6.59,3.94,2,4719
1.01,63.6,57,6.35,6.39,4.05,1,4719
1.01,59.8,58,6.54,6.58,3.92,3,4719
1.01,61.5,56,6.39,6.46,3.95,2,4719
1,61,61,6.4,6.45,3.92,2,4719
1.11,62.6,56,6.58,6.65,4.14,4,4719
1.06,62.5,58,6.54,6.41,4.05,3,4719
1.32,62.4,58,7.01,6.96,4.36,3,4719
1.12,61.6,58,6.72,6.62,4.11,3,4719
0.91,62.7,59,6.13,6.16,3.85,2,4720
1.12,61.6,57,6.68,6.66,4.11,4,4720
0.97,62,60,6.25,6.29,3.89,3,4721
1.06,62.5,58,6.46,6.5,4.05,2,4721
1,62.7,57,6.37,6.42,4.01,4,4721
0.92,59.7,63,6.34,6.29,3.77,2,4721
1,63.6,61,6.25,6.21,3.96,1,4722
1.05,61.8,59,6.53,6.49,4.02,4,4723
1.04,61,59,6.51,6.54,3.98,3,4724
1.04,59.2,61,6.63,6.68,3.94,2,4724
1.12,61.7,58.1,6.6,6.66,4.09,2,4724
1.02,60,59,6.56,6.55,3.93,4,4724
0.9,61.3,56,6.21,6.23,3.81,4,4724
0.93,61.6,57,6.27,6.33,3.88,4,4724
1.14,61.8,57,6.76,6.68,4.15,4,4724
1,62.7,58,6.41,6.32,3.99,3,4724
1.25,63.9,56,6.81,6.77,4.34,1,4725
1.17,61.1,56,6.8,6.86,4.17,4,4725
1,62.6,58,6.34,6.38,3.98,2,4725
1.1,64.6,54,6.56,6.49,4.22,0,4725
1.1,61.2,61,6.66,6.61,4.01,3,4725
1.1,63.1,58,6.54,6.53,4.12,4,4725
1.1,62.4,58,6.6,6.57,4.11,3,4725
